Location,Period,Fact value(%)
Ethiopa,2024,84
Ethiopia,2023,79
Ethiopia,2022,73
Ethiopia,2021,73
Ethiopia,2020,70
Ethiopia,2019,69
Ethiopia,2018,71
Kenya,2024,87
Kenya,2023,90
Kenya,2022,94
Kenya,2021,94
Kenya,2020,97
Kenya,2019,96
Kenya,2018,93
Uganda,2024,92
Uganda,2023,92
Uganda,2022,93
Uganda,2021,97
Uganda,2020,91
Uganda,2019,88
Uganda,2018,88
Somalia,2024,74
Somalia,2023,75
Somalia,2022,75
Somalia,2021,64
Somalia,2020,59
Somalia,2019,58
Somalia,2018,52
Rwanda,2024,99
Rwanda,2023,92
Rwanda,2022,99
Rwanda,2021,89
Rwanda,2020,89
Rwanda,2019,98
Rwanda,2018,97
United Republic of Tanzania,2024,89
United Republic of Tanzania,2023,89
United Republic of Tanzania,2022,90
United Republic of Tanzania,2021,82
United Republic of Tanzania,2020,91
United Republic of Tanzania,2019,92
United Republic of Tanzania,2018,91
