Location,Period,Fact value(%)
Ethiopa,2024,73
Ethiopia,2023,70
Ethiopia,2022,63
Ethiopia,2021,63
Ethiopia,2020,62
Ethiopia,2019,61
Ethiopia,2018,62
Kenya,2024,91
Kenya,2023,93
Kenya,2022,94
Kenya,2021,95
Kenya,2020,93
Kenya,2019,93
Kenya,2018,91
Uganda,2024,91
Uganda,2023,91
Uganda,2022,89
Uganda,2021,91
Uganda,2020,89
Uganda,2019,93
Uganda,2018,93
Somalia,2024,70
Somalia,2023,69
Somalia,2022,71
Somalia,2021,62
Somalia,2020,55
Somalia,2019,57
Somalia,2018,53
Rwanda,2024,98
Rwanda,2023,94
Rwanda,2022,98
Rwanda,2021,88
Rwanda,2020,91
Rwanda,2019,98
Rwanda,2018,97
United Republic of Tanzania,2024,83
United Republic of Tanzania,2023,83
United Republic of Tanzania,2022,87
United Republic of Tanzania,2021,86
United Republic of Tanzania,2020,91
United Republic of Tanzania,2019,91
United Republic of Tanzania,2018,89
