Location,Period,Fact value(%)
Ethiopa,2024,72
Ethiopia,2023,68
Ethiopia,2022,62
Ethiopia,2021,60
Ethiopia,2020,57
Ethiopia,2019,56
Ethiopia,2018,54
Kenya,2024,66
Kenya,2023,91
Kenya,2022,89
Kenya,2021,90
Kenya,2020,89
Kenya,2019,92
Kenya,2018,92
Uganda,2024,90
Uganda,2023,90
Uganda,2022,90
Uganda,2021,90
Uganda,2020,89
Uganda,2019,87
Uganda,2018,86
Somalia,2024,64
Somalia,2023,63
Somalia,2022,69
Somalia,2021,58
Somalia,2020,52
Somalia,2019,52
Somalia,2018,53
Rwanda,2024,97
Rwanda,2023,96
Rwanda,2022,99
Rwanda,2021,87
Rwanda,2020,94
Rwanda,2019,96
Rwanda,2018,99
United Republic of Tanzania,2024,84
United Republic of Tanzania,2023,84
United Republic of Tanzania,2022,84
United Republic of Tanzania,2021,80
United Republic of Tanzania,2020,87
United Republic of Tanzania,2019,89
United Republic of Tanzania,2018,88
