Indicator,Location,Period,FactValueNumeric
Maternal mortality ratio (per 100 000 live births),Uganda,2023,170.3
Maternal mortality ratio (per 100 000 live births),Ethiopia,2023,194.9
Maternal mortality ratio (per 100 000 live births),Rwanda,2023,229.5
Maternal mortality ratio (per 100 000 live births),United Republic of Tanzania,2023,275.8
Maternal mortality ratio (per 100 000 live births),Kenya,2023,378.8
Maternal mortality ratio (per 100 000 live births),Somalia,2023,562.6
Maternal mortality ratio (per 100 000 live births),United Republic of Tanzania,2022,151.7
Maternal mortality ratio (per 100 000 live births),Uganda,2022,183.9
Maternal mortality ratio (per 100 000 live births),Ethiopia,2022,207.5
Maternal mortality ratio (per 100 000 live births),Rwanda,2022,234
Maternal mortality ratio (per 100 000 live births),Kenya,2022,388.4
Maternal mortality ratio (per 100 000 live births),Somalia,2022,622
Maternal mortality ratio (per 100 000 live births),United Republic of Tanzania,2021,162.1
Maternal mortality ratio (per 100 000 live births),Uganda,2021,215.8
Maternal mortality ratio (per 100 000 live births),Ethiopia,2021,249.6
Maternal mortality ratio (per 100 000 live births),Rwanda,2021,254
Maternal mortality ratio (per 100 000 live births),Kenya,2021,420.9
Maternal mortality ratio (per 100 000 live births),Somalia,2021,725.9
Maternal mortality ratio (per 100 000 live births),United Republic of Tanzania,2020,159.9
Maternal mortality ratio (per 100 000 live births),Uganda,2020,209.5
Maternal mortality ratio (per 100 000 live births),Ethiopia,2020,243.9
Maternal mortality ratio (per 100 000 live births),Rwanda,2020,252.1
Maternal mortality ratio (per 100 000 live births),Kenya,2020,421.2
Maternal mortality ratio (per 100 000 live births),Somalia,2020,654.9
Maternal mortality ratio (per 100 000 live births),Uganda,2019,218.7
Maternal mortality ratio (per 100 000 live births),Rwanda,2019,261.3
Maternal mortality ratio (per 100 000 live births),Ethiopia,2019,268.8
Maternal mortality ratio (per 100 000 live births),United Republic of Tanzania,2019,291.7
Maternal mortality ratio (per 100 000 live births),Kenya,2019,414.9
Maternal mortality ratio (per 100 000 live births),Somalia,2019,655.8
Maternal mortality ratio (per 100 000 live births),Uganda,2018,232
Maternal mortality ratio (per 100 000 live births),Rwanda,2018,268.7
Maternal mortality ratio (per 100 000 live births),Ethiopia,2018,296.6
Maternal mortality ratio (per 100 000 live births),United Republic of Tanzania,2018,318.9
Maternal mortality ratio (per 100 000 live births),Kenya,2018,428
Maternal mortality ratio (per 100 000 live births),Somalia,2018,726.9
