Location,Period,Number of deaths
Ethiopia,2023,187237
Ethiopia,2022,191703
Ethiopia,2021,195789
Ethiopia,2020,199323
Ethiopia,2019,202011
Ethiopia,2018,204066
Kenya,2023,10935
Kenya,2022,11196
Kenya,2021,11343
Kenya,2020,11531
Kenya,2019,11712
Kenya,2018,12003
Uganda,2023,12243
Uganda,2022,12610
Uganda,2021,12813
Uganda,2020,13111
Uganda,2019,10066
Uganda,2018,10298
Somalia,2023,11240
Somalia,2022,107530
Somalia,2021,11466
Somalia,2020,11534
Somalia,2019,11582
Somalia,2018,13612
Rwanda,2023,15705
Rwanda,2022,15961
Rwanda,2021,16207
Rwanda,2020,16499
Rwanda,2019,16781
Rwanda,2018,16958
United Republic of Tanzania,2023,16387
United Republic of Tanzania,2022,16811
United Republic of Tanzania,2021,17236
United Republic of Tanzania,2020,17746
United Republic of Tanzania,2019,18193
United Republic of Tanzania,2018,18652
,,
